SPUR,KAP INDUSTRIAL,ADVTECH,REUNERT,CLICKS GROUP,CITY LODGE HOTELS,PPC,NAMPAK,MURRAY & ROBERTS,SUPER GROUP,CURRO HOLDINGS,INVICTA,PICK N PAY STORES,TSOGO SUN,SHOPRITE,GRINDROD,WOOLWORTHS HDG,FAMOUS BRANDS,AFRIMAT,MASSMART,MR PRICE GROUP,RAUBEX GROUP,THE FOSCHINI GROUP,BARLOWORLD,BIDVEST GROUP,SUN INTERNATIONAL,WLSN.BAYLY HOLMES-OVCON,MPACT,HUDACO,CASHBUILD,LEWIS GROUP,TRENCOR,ITALTILE,IMPERIAL,SPAR GROUP,TRUWORTHS INTL
740,175,395,5140,1650,7199,3170,1320,4869,1670,0.0,2400,3551,1800,5250,1495,1305,1500,180,8700,2549,2000,4925,4349,10300,9420,10969,0.0,6350,5200,4800,1960,305,6050,5720,3695
740,175,405,5590,1700,7200,3000,1301,5100,1800,0.0,2500,3700,1700,5400,1570,1320,1540,186,8830,2650,2130,4950,4450,10300,9400,11000,0.0,6350,5250,4759,2000,305,6295,5800,3800
755,175,415,5399,1745,7300,3050,1310,5300,1950,0.0,2600,3749,1701,5440,1615,1345,1550,190,8761,2651,2100,5050,4595,10750,9547,11500,0.0,6300,5410,4840,2000,305,6300,5900,3740
755,175,403,5300,1689,7666,3000,1349,4900,1900,0.0,2600,3702,1701,5657,1620,1330,1600,189,8663,2650,2098,5100,4550,10414,9467,11400,0.0,6305,5361,5085,2249,305,6220,5800,3660
755,170,400,5369,1610,7500,2950,1357,4920,1840,0.0,2600,3690,1701,5600,1500,1308,1600,200,8500,2600,2000,4980,4470,10341,9000,11300,0.0,6300,5361,4990,2155,305,6200,5700,3515
755,168,400,5260,1675,7350,2950,1410,5010,1800,0.0,2600,3560,1790,5510,1450,1300,1600,195,8650,2580,2010,4980,4500,10500,8820,11505,0.0,6200,5361,4950,2203,305,6030,5800,3650
750,168,415,4990,1698,7350,2948,1315,5000,1850,0.0,2598,3644,1715,5522,1512,1325,1560,200,8650,2616,2005,5050,4310,10463,9018,11800,0.0,6200,5361,5075,2175,305,5925,5800,3645
738,150,415,4810,1650,7300,2771,1320,4840,1850,0.0,2500,3561,1710,5500,1500,1315,1576,220,8525,2600,2000,4912,4235,10500,9199,11800,0.0,6200,5361,4855,2175,305,5980,5700,3570
736,140,410,4720,1676,7280,2845,1275,4700,1850,0.0,2498,3401,1715,5400,1380,1320,1575,220,8518,2575,2015,4917,3900,10349,9200,11440,0.0,6300,5365,4850,2100,308,5950,5665,3545
730,140,410,4940,1650,7300,2891,1280,4650,1800,0.0,2498,3450,1725,5420,1356,1260,1575,230,8236,2488,1990,4750,3700,10200,9325,10900,0.0,6300,5365,4600,2100,308,5717,5690,3413
720,140,409,4700,1635,7300,2900,1280,4600,1760,0.0,2498,3457,1715,5430,1395,1235,1590,230,8250,2500,1990,4745,3840,10000,9350,10538,0.0,6300,5365,4580,2060,315,5605,5550,3434
720,140,401,4800,1635,7349,2865,1260,4400,1760,0.0,2497,3400,1701,5469,1340,1250,1575,215,8281,2580,1998,4800,3810,9702,9150,10750,0.0,6200,5900,4400,2000,315,5200,5560,3440
720,139,401,4710,1635,7250,2810,1362,4390,1750,0.0,2480,3368,1715,5501,1350,1279,1575,215,8400,2576,1995,4850,3699,9865,9197,10498,0.0,6200,5900,4585,2000,315,5300,5560,3480
725,139,390,4600,1615,7000,2751,1335,4430,1750,0.0,2480,3300,1700,5500,1320,1295,1575,215,8220,2550,1989,4700,3550,10300,8999,10330,0.0,6200,5895,4450,2000,315,5402,5686,3450
705,140,380,4520,1606,7020,2795,1331,4350,1740,0.0,2480,3340,1710,5535,1394,1270,1550,220,8500,2500,1980,4550,3550,9732,8860,9900,0.0,6200,5895,4400,2000,310,5500,5650,3448
750,130,380,4460,1640,7000,2800,1300,4300,1740,0.0,2300,3360,1724,5505,1255,1254,1555,215,8643,2450,1885,4575,3600,9450,8800,9500,0.0,6100,5570,4199,2000,310,5467,5699,3424
725,139,380,4460,1640,7130,2785,1315,4450,1750,0.0,2205,3377,1724,5503,1220,1299,1555,215,8150,2540,1849,4620,3490,9550,8900,9750,0.0,6000,5570,4235,2000,310,5395,5487,3450
750,139,388,4584,1635,7175,2840,1303,4325,1750,0.0,2190,3450,1700,5509,1260,1310,1560,215,8500,2580,1798,4625,3400,10020,8996,10150,0.0,6200,5570,4295,2000,310,5500,5450,3489
755,139,385,4598,1630,7250,2875,1360,4420,1610,0.0,2320,3380,1693,5350,1380,1330,1560,219,8300,2636,1798,4700,3500,9800,8900,10100,0.0,6200,5575,4360,2000,310,5550,5480,3590
755,130,380,4600,1625,7150,2890,1315,4397,1560,0.0,2320,3370,1675,5174,1310,1340,1550,210,8200,2550,1743,4515,3500,9930,8850,9950,0.0,6200,5575,4335,2000,310,5260,5434,3481
760,130,370,4730,1650,7250,2960,1310,4320,1550,0.0,2320,3465,1675,5450,1336,1345,1595,210,8100,2600,1700,4580,3360,9999,8825,9718,0.0,6200,5700,4300,2000,310,5140,5500,3525
730,130,365,4550,1610,7100,2825,1310,4100,1580,0.0,2320,3300,1670,5216,1340,1291,1550,200,8050,2580,1700,4639,3300,9900,8825,9700,0.0,6000,5700,4405,2000,310,5275,5500,3525
730,130,366,4350,1580,7080,2890,1320,4100,1500,0.0,2295,3225,1610,5429,1300,1330,1555,219,8200,2585,1700,4600,3275,9720,8950,9080,0.0,5800,5500,4300,1950,290,5360,5470,3582
730,130,370,4198,1575,7049,2875,1360,4170,1550,0.0,2285,3300,1652,5450,1420,1310,1565,220,8289,2533,1699,4619,3300,9900,9150,9208,0.0,5825,5500,4275,1950,290,5400,5461,3600
727,130,370,4070,1590,7100,2885,1384,4201,1440,0.0,2285,3225,1642,5400,1505,1325,1610,275,8300,2528,1699,4595,3320,9801,9150,9300,0.0,5880,5500,4110,1950,260,5440,5500,3561
727,130,370,4200,1600,7080,3069,1385,4340,1250,0.0,2280,3220,1650,5488,1594,1355,1614,275,8206,2578,1700,4700,3360,9980,9100,9350,0.0,5880,5600,4150,1950,260,5489,5460,3579
701,130,370,4290,1600,7100,3100,1385,4330,1390,0.0,2205,3225,1600,5500,1620,1370,1570,228,8000,2600,1699,4715,3320,9940,9065,9445,0.0,5880,5400,4285,1800,270,5430,5420,3560
724,130,370,4230,1580,7000,3225,1385,4350,1300,0.0,2225,3270,1640,5480,1532,1380,1551,269,8150,2577,1798,4846,3405,9990,9150,9499,0.0,5850,5500,4385,1800,270,5550,5447,3600
720,130,370,4200,1574,7050,3290,1385,4285,1290,0.0,2225,3285,1640,5375,1505,1340,1620,230,7950,2565,1800,4804,3625,9905,9050,9480,0.0,5800,5500,4340,1800,270,5600,5500,3550
720,130,370,4170,1535,7100,3200,1375,4250,980,0.0,2200,3400,1610,5379,1510,1326,1625,228,7999,2530,1795,4734,3620,9890,9040,9390,0.0,5800,5500,4230,1800,270,5550,5520,3551
745,130,370,4175,1520,7025,3145,1306,4000,1040,0.0,2100,3270,1610,5175,1520,1325,1635,234,7940,2500,1795,4725,3760,9501,9000,9250,0.0,5550,5400,4200,1800,271,5520,5480,3570
745,130,350,4090,1510,6950,3100,1351,3939,1030,0.0,2045,3200,1600,5100,1480,1285,1640,235,7710,2498,1800,4676,3700,9420,8602,9100,0.0,5450,5400,4200,1850,270,5350,5356,3540
745,130,360,3895,1500,6800,3061,1345,3650,990,0.0,2000,3140,1599,4990,1405,1260,1628,226,7300,2427,1799,4625,3574,9151,8299,8801,0.0,5250,5405,4080,1853,271,5155,5280,3459
753,125,360,3845,1500,6750,3105,1340,3499,940,0.0,1950,3110,1589,5070,1426,1270,1620,201,7114,2415,1798,4600,3460,8999,8290,9000,0.0,5050,5410,4135,1853,271,5160,5370,3350
760,125,360,3723,1480,6699,3260,1350,3500,700,0.0,2000,3140,1560,5222,1530,1280,1550,205,7100,2450,1800,4540,3588,8900,8210,9000,0.0,5125,5400,4108,1855,300,5108,5450,3410
