Date;Beta Monthly Leveraged;Beta Monthly Unleveraged;Beta Weekly Leveraged;Beta Weekly Unleveraged;Close;Open;PE
2020/12/31;1,0111;0;0,9388;0;4650,61;4444,7;45,589
2020/11/30;1,0563;0;0,9478;0;4444,7;3824,65;52,614
2020/10/31;0,9985;0;1,0417;0;3824,65;3821,31;26,313
2020/09/30;1,0215;0;0,8252;0;3821,31;3458,51;26,29
2020/08/31;0,991;0;0,8917;0;3458,51;3420,33;14,405
2020/07/31;0,9749;0;0,9822;0;3420,33;3523,42;13,633
2020/06/30;1,0532;0;0,921;0;3523,42;3229,17;14,458
2020/05/31;0,9387;0;0,9266;0;3229,17;3430,03;13,563
2020/04/30;1,0187;0;0,9212;0;3430,03;3088,02;14,333
2020/03/31;0,9351;0;0,8411;0;3088,02;4603,35;12,903
2020/02/29;0,9467;0;0,8697;0;4603,35;5208,49;11,175
2020/01/31;1,0906;0;0,8964;0;5208,49;5608,17;12,203
2019/12/31;1,1335;0;0,5815;0;5608,17;5625,18;13,14
2019/11/30;1,0758;0;0,9015;0;5625,18;5798,07;13,178
2019/10/31;1,1466;0;0,8014;0;5798,07;5696,5;13,523
2019/09/30;1,1357;0;0,8003;0;5696,5;5700,29;13,287
2019/08/31;1,1296;0;0,9251;0;5700,29;6006,55;12,926
2019/07/31;1,1448;0;0,6748;0;6006,55;6275,06;13,733
2019/06/30;1,0951;0;0,8942;0;6275,06;6251,42;14,347
2019/05/31;1,1697;0;0,9011;0;6251,42;6668,22;14,279
2019/04/30;1,1124;0;0,5318;0;6668,22;6061,59;15,478
2019/03/31;1,0484;0;0,8904;0;6061,59;6478,18;14,07
2019/02/28;1,0597;0;0,8025;0;6478,18;6772,31;14,953
2019/01/31;1,1665;0;0,7908;0;6772,31;7178,83;17,085
2018/12/31;1,2391;0;0,7555;0;7178,83;7205,96;18,111
2018/11/30;1,1865;0;0,8921;0;7205,96;6693,12;18,185
2018/10/31;1,349;0;0,6539;0;6693,12;6798,01;15,977
2018/09/30;1,1516;0;0,9019;0;6798,01;7026,17;16,227
2018/08/31;1,5499;0;0,9136;0;7026,17;6926,66;16,8
2018/07/31;1,5422;0;0,4846;0;6926,66;6929,62;15,922
2018/06/30;1,3168;0;0,9033;0;6929,62;7471,91;15,929
2018/05/31;1,4602;0;0,8419;0;7471,91;8553,82;17,459
2018/04/30;1,3363;0;0,8383;0;8553,82;8648,65;20,069
2018/03/31;1,2967;0;0,8226;0;8648,65;8647,02;20,292
2018/02/28;1,2179;0;0,6189;0;8647,02;8360,66;20,066
2018/01/31;1,4004;0;0,628;0;8360,66;8017,31;19,016
2017/12/31;1,4102;0;0,9398;0;8017,31;6937,63;18,235
2017/11/30;1,4528;0;0,8315;0;6937,63;6398,3;15,82
2017/10/31;1,4017;0;0,541;0;6398,3;6556,41;14,703
2017/09/30;1,5546;0;0,933;0;6556,41;6798,34;15,046
2017/08/31;1,4915;0;0,8329;0;6798,34;6683,38;15,645
2017/07/31;1,4916;0;0,8842;0;6683,38;6336,68;15,118
2017/06/30;1,5661;0;0,9195;0;6336,68;6568,31;14,334
2017/05/31;1,5925;0;0,6308;0;6568,31;7183,27;14,789
2017/04/30;1,4098;0;0,9298;0;7183,27;7162,14;15,89
2017/03/31;1,5488;0;0,9453;0;7162,14;7333,15;15,844
2017/02/28;1,3995;0;0,5462;0;7333,15;7191,92;16,36
2017/01/31;1,5703;0;0,5494;0;7191,92;7030,42;15,96
2016/12/31;1,6293;0;0,9476;0;7030,42;6501,33;15,601
2016/11/30;1,5939;0;0,6804;0;6501,33;6956,43;14,416
2016/10/31;1,5294;0;0,9096;0;6956,43;6903,79;15,194
2016/09/30;1,6086;0;0,9639;0;6903,79;7254,98;15,065
2016/08/31;1,5824;0;0,7296;0;7254,98;8178,11;15,898
2016/07/31;1,5319;0;0,9612;0;8178,11;7606,37;18,517
2016/06/30;1,4891;0;0,8976;0;7606,37;7529,5;17,299
2016/05/31;1,5089;0;0,5585;0;7529,5;7994,59;17,331
2016/04/30;1,4999;0;0,9521;0;7994,59;7725,23;18,552
2016/03/31;1,5242;0;0,873;0;7725,23;6895,03;17,905
2016/02/29;1,4593;0;0,8528;0;6895,03;7387,99;16,115
2016/01/31;1,4564;0;0,9037;0;7387,99;7901,19;18,598
2015/12/31;0;0;0;0;7901,19;8064,57;19,971
2015/11/30;1,4574;0;0,8062;0;8064,57;8233,4;20,357
2015/10/31;1,4854;0;0,8505;0;8233,4;7714,1;21,012
2015/09/30;1,5139;0;0,6493;0;7714,1;8285,86;19,714
2015/08/31;1,5716;0;0,8027;0;8285,86;8360,75;21,221
2015/07/31;0,9145;0;0,8609;0;8360,75;8567,15;20,896
2015/06/30;1,028;0;0,8132;0;8567,15;8437,75;21,475
2015/05/31;1,0015;0;0,8369;0;8437,75;8389,38;21,108
2015/04/30;0,9894;0;0,9265;0;8389,38;8288,73;21,269
2015/03/31;0,8981;0;0,803;0;8288,73;8499;20,999
2015/02/28;0,8555;0;0,852;0;8499;8243,24;21,629
2015/01/31;1,0031;0;0,825;0;8243,24;7259,26;21,892
2014/12/31;0,8711;0;0,8952;0;7259,26;7445,54;19,279
2014/11/30;0,9656;0;0,8023;0;7445,54;7030,79;19,721
2014/10/31;0,8673;0;0,8167;0;7030,79;6456,54;18,852
2014/09/30;0,9509;0;0,77;0;6456,54;6688,59;17,318
2014/08/31;0,9338;0;0,7989;0;6688,59;6838,03;17,768
2014/07/31;0,8169;0;0,8531;0;6838,03;6465,07;18,046
2014/06/30;0,877;0;0,817;0;6465,07;6411,65;17,062
2014/05/31;0,8463;0;0,8021;0;6411,65;6248,99;16,981
2014/04/30;0,8071;0;0,8358;0;6248,99;6152,79;16,829
2014/03/31;0,7538;0;0,8029;0;6152,79;5517,22;16,57
2014/02/28;0,7155;0;0,8032;0;5517,22;5442,66;14,865
2014/01/31;0,7659;0;0,8154;0;5442,66;6173,92;14,607
2013/12/31;0,7187;0;0,7186;0;6173,92;6228,63;16,57
2013/11/30;0,7544;0;0,7641;0;6228,63;6701,06;16,599
2013/10/31;0,713;0;0,7272;0;6701,06;6353,83;18,112
2013/09/30;0,742;0;0,7084;0;6353,83;5816,03;17,175
2013/08/31;0,6878;0;0,676;0;5816,03;5919,63;15,618
2013/07/31;0,6427;0;0,6972;0;5919,63;6005,22;16,025
2013/06/30;0,483;0;0,6669;0;6005,22;6250,31;16,256
2013/05/31;0,5296;0;0,6609;0;6250,31;6259,39;16,904
2013/04/30;0,563;0;0,6985;0;6259,39;6222,49;17,408
2013/03/31;0,4827;0;0,6494;0;6222,49;6058,78;17,306
2013/02/28;0,4895;0;0,6364;0;6058,78;6289,33;16,93
2013/01/31;0,5359;0;0,6196;0;6289,33;6968,89;18,334
2012/12/31;0,6074;0;0,6788;0;6968,89;6584,63;20,315
2012/11/30;0,6239;0;0,6086;0;6584,63;6383,37;19,257
2012/10/31;0,6278;0;0,6576;0;6383,37;6186,49;19,289
2012/09/30;0,5327;0;0,617;0;6186,49;6352,03;18,695
2012/08/31;0,6059;0;0,6195;0;6352,03;6248,51;19,293
2012/07/31;0,607;0;0,6585;0;6248,51;5709,31;19,805
2012/06/30;0,5126;0;0,626;0;5709,31;5425,96;18,095
2012/05/31;0,6021;0;0,626;0;5425,96;5558,87;17,278
2012/04/30;0,5994;0;0,6597;0;5558,87;5383,3;18,098
2012/03/31;0,6068;0;0,6214;0;5383,3;5248,61;16,43
2012/02/29;0,5196;0;0,6582;0;5248,61;5040,83;16,174
2012/01/31;0,6042;0;0,6585;0;5040,83;4807,47;17,483
2011/12/31;0,6105;0;0,6228;0;4807,47;4897,03;16,673
2011/11/30;0,6119;0;0,6638;0;4897,03;4776,35;16,955
2011/10/31;0,6125;0;0,6617;0;4776,35;4187,26;17,364
2011/09/30;0,5861;0;0,6127;0;4187,26;4554,66;15,222
2011/08/31;0,5768;0;0,6499;0;4554,66;4275,07;16,564
2011/07/31;0,5074;0;0,5993;0;4275,07;4183,11;16,136
2011/06/30;0,5946;0;0,6214;0;4183,11;4137,65;15,788
2011/05/31;0,5682;0;0,668;0;4137,65;4253,96;16,203
2011/04/30;0,5289;0;0,6073;0;4253,96;4016,24;17,845
2011/03/31;0,582;0;0,6243;0;4016,24;3874,28;16,855
2011/02/28;0,5353;0;0,6688;0;3874,28;3794,33;16,213
2011/01/31;0,5749;0;0,6728;0;3794,33;4192,57;16,596
2010/12/31;0,5793;0;0,6071;0;4192,57;4087,98;18,337
2010/11/30;0,6056;0;0,6728;0;4087,98;4022,07;17,867
2010/10/31;0,5423;0;0,6119;0;4022,07;3957,01;18,588
2010/09/30;0,6209;0;0,6218;0;3957,01;3421,64;18,305
2010/08/31;0,5727;0;0,6683;0;3421,64;3509,52;15,866
2010/07/31;0,5541;0;0,5993;0;3509,52;3224,14;17,436
2010/06/30;0,5608;0;0,6484;0;3224,14;3227,63;16,019
2010/05/31;0,5848;0;0,6657;0;3227,63;3191,51;16,029
2010/04/30;0,5646;0;0,5849;0;3191,51;3108,44;16,377
2010/03/31;0,5806;0;0,6373;0;3108,44;2851,58;15,983
2010/02/28;0,4853;0;0,5834;0;2851,58;2610,33;14,591
2010/01/31;0,4951;0;0,5864;0;2610,33;2690,96;13,588
2009/12/31;0,571;0;0,6165;0;2690,96;2526,91;14,008
2009/11/30;0,5542;0;0,6703;0;2526,91;2696,46;13,127
2009/10/31;0,5974;0;0,5915;0;2696,46;2611,41;13,997
