Date;Beta Monthly Leveraged;Beta Monthly Unleveraged;Beta Weekly Leveraged;Beta Weekly Unleveraged;Close;Open;PE
2020/12/31;0,8918;0;0,7693;0;116,96;112,3;18,359
2020/11/30;0,9726;0;0,8391;0;112,3;92,07;75,671
2020/10/31;0,873;0;0,8852;0;92,07;95,49;19,494
2020/09/30;0,8887;0;0,7401;0;95,49;95,95;20,217
2020/08/31;0,7907;0;0,7936;0;95,95;94,87;11,241
2020/07/31;0,779;0;0,8466;0;94,87;100,55;9,49
2020/06/30;0,888;0;0,8194;0;100,55;102,59;9,536
2020/05/31;0,8414;0;0,7981;0;102,59;102,07;9,624
2020/04/30;0,9403;0;0,7582;0;102,07;96,85;8,715
2020/03/31;0,9189;0;0,8093;0;96,85;126,63;8,269
2020/02/29;0,8531;0;0,8884;0;126,63;148,19;10,42
2020/01/31;0,6027;0;0,8964;0;148,19;155,52;12,14
2019/12/31;0,602;0;0,8663;0;155,52;153,74;12,739
2019/11/30;0,6265;0;0,8937;0;153,74;161,4;12,593
2019/10/31;0,5936;0;0,944;0;161,4;155,14;12,216
2019/09/30;0,6233;0;0,8971;0;155,14;150,81;11,742
2019/08/31;0,6341;0;0,9122;0;150,81;157,58;11,583
2019/07/31;0,5872;0;0,8616;0;157,58;164,81;11,913
2019/06/30;0,745;0;0,9047;0;164,81;171,29;12,459
2019/05/31;0,6175;0;0,9144;0;171,29;177,48;13,007
2019/04/30;0,6331;0;0,8566;0;177,48;167,51;13,406
2019/03/31;0,583;0;0,9098;0;167,51;178,83;12,653
2019/02/28;0,737;0;0,9128;0;178,83;182,49;13,628
2019/01/31;0,6185;0;0,9081;0;182,49;175,34;13,83
2018/12/31;0,6546;0;0,8951;0;175,34;178,61;13,288
2018/11/30;0,7103;0;0,9027;0;178,61;169,34;13,615
2018/10/31;0,7459;0;0,8599;0;169,34;173,36;13,271
2018/09/30;0,7444;0;0,9076;0;173,36;187,87;13,586
2018/08/31;0,7307;0;0,9078;0;187,87;181,78;15,474
2018/07/31;0,7234;0;0,8431;0;181,78;180,41;14,978
2018/06/30;0,5914;0;0,8976;0;180,41;183,41;14,865
2018/05/31;0,7228;0;0,9187;0;183,41;208,5;15,226
2018/04/30;0,6572;0;0,9324;0;208,5;201,34;17,586
2018/03/31;0,5932;0;0,8992;0;201,34;211,15;16,983
2018/02/28;0,6771;0;0,8727;0;211,15;213,53;17,412
2018/01/31;0,6165;0;0,8534;0;213,53;203,09;17,895
2017/12/31;0,5418;0;0,8831;0;203,09;188,59;17,02
2017/11/30;0,6453;0;0,8536;0;188,59;180,94;15,805
2017/10/31;0,6315;0;0,9265;0;180,94;175,73;15,25
2017/09/30;0,5827;0;0,8788;0;175,73;181,49;14,811
2017/08/31;0,6234;0;0,8467;0;181,49;176,65;16,333
2017/07/31;0,6188;0;0,9543;0;176,65;172,2;15,432
2017/06/30;0,6578;0;0,8922;0;172,2;180,97;15,043
2017/05/31;0,6358;0;0,8547;0;180,97;179,56;15,87
2017/04/30;0,6391;0;0,8932;0;179,56;171,03;15,815
2017/03/31;0,6268;0;0,8955;0;171,03;178,53;15,063
2017/02/28;0,6353;0;0,9351;0;178,53;178,52;16,462
2017/01/31;0,6341;0;0,9396;0;178,52;184,27;17,033
2016/12/31;0,7067;0;0,9225;0;184,27;170,92;17,582
2016/11/30;0,7021;0;0,8733;0;170,92;177,22;16,308
2016/10/31;0,6938;0;0,985;0;177,22;175,71;16,468
2016/09/30;0,6958;0;0,9186;0;175,71;181,59;16,19
2016/08/31;0,6983;0;0,8765;0;181,59;187,18;14,542
2016/07/31;0,6854;0;0,9193;0;187,18;175,61;15,982
2016/06/30;0,6833;0;0,9271;0;175,61;168,47;14,994
2016/05/31;0,7273;0;0,8751;0;168,47;163,24;21,456
2016/04/30;0,7563;0;0,9184;0;163,24;162,68;16,139
2016/03/31;0,7266;0;0,9185;0;162,68;153,91;16,093
2016/02/29;0,778;0;0,9684;0;153,91;158,87;15,605
2016/01/31;0,775;0;0,9321;0;158,87;152,68;16,131
2015/12/31;0;0;0;0;152,68;160,32;15,503
2015/11/30;0,7531;0;0,9196;0;160,32;167,89;16,157
2015/10/31;0,7366;0;0,8063;0;167,89;156;16,453
2015/09/30;0,7158;0;0,8648;0;156;157,78;15,288
2015/08/31;0,7463;0;0,8943;0;157,78;158,81;16,635
2015/07/31;0,7579;0;0,8114;0;158,81;158,42;17,217
2015/06/30;0,7391;0;0,8215;0;158,42;155,61;17,175
2015/05/31;0,7972;0;0,8117;0;155,61;165,79;16,87
2015/04/30;0,7169;0;0,8421;0;165,79;166,1;17,992
2015/03/31;0,7393;0;0,8127;0;166,1;167,02;18,025
2015/02/28;0,9483;0;0,8117;0;167,02;165,6;18,31
2015/01/31;0,7704;0;0,8109;0;165,6;158,8;18,2
2014/12/31;0,7696;0;0,8603;0;158,8;157,98;17,453
2014/11/30;0,8398;0;0,7852;0;157,98;159,08;17,138
2014/10/31;0,7547;0;0,7856;0;159,08;146,27;17,28
2014/09/30;0,7455;0;0,7773;0;146,27;151,7;15,972
