ASPEN,CAPITEC,IMPLATS,GROWPNT,NORTHAM,ANGGOLD,BATS,EXXARO,WOOLIES,NASPERS-N-,CLICKS,BIDVEST,SANLAM,REMGRO,GFIELDS,RICHEMONT,STANBANK,SHOPRIT,INVLTD,MONDIPLC,INVPLC,DISCOVERY,AMPLATS,ANGLO,FIRSTRAND,NEDBANK,SASOL,SPAR,VODACOM,MTN_GROUP
5162,3850.0,16150,1310,3210.0,30250.0,22559.0,7551.0,1210.0,19587.0,1625.0,2722,1785.0,7187.0,9042.0,1799.0,8450,5120.0,4302,2455.0,4249.0,2705.0,49500,19680,1182.0,8825.0,29950,5450.0,5880.0,11425.0
5058,3800.0,16650,1350,3257.0,30050.0,22071.0,7700.0,1240.0,19762.0,1630.0,2672,1776.0,7250.0,9559.0,1802.0,8720,5145.0,4500,2515.0,4430.0,2750.0,51200,20800,1207.0,9370.0,30430,5500.0,5680.0,11900.0
4950,3800.0,16960,1350,3062.0,30960.0,21613.0,7755.0,1250.0,18818.0,1630.0,2653,1750.0,7276.0,9293.0,1800.0,8799,5160.0,4331,2588.0,4320.0,2700.0,50300,21395,1165.0,9200.0,30499,5450.0,5680.0,12201.0
4900,3825.0,16080,1350,3200.0,30650.0,22052.0,7451.0,1208.0,19472.0,1690.0,2665,1780.0,7150.0,9733.0,1711.0,8550,5437.0,4200,2550.0,4160.0,2691.0,51700,20850,1190.0,9000.0,29450,5516.0,5560.0,11800.0
4801,3825.0,17318,1350,3205.0,31521.0,21900.0,7849.0,1210.0,19637.0,1664.0,2672,1743.0,7300.0,9733.0,1780.0,8560,5235.0,4300,2614.0,4240.0,2733.0,51910,21300,1149.0,9132.0,30460,5600.0,5675.0,11900.0
4845,3825.0,18170,1360,3275.0,32417.0,22174.0,7992.0,1230.0,19142.0,1700.0,2606,1725.0,7205.0,9505.0,1770.0,8400,5280.0,4129,2675.0,4107.0,2725.0,52239,20910,1145.0,8843.0,29250,5738.0,5700.0,12990.0
4838,3850.0,18002,1377,3300.0,31501.0,22632.0,8003.0,1220.0,19787.0,1700.0,2615,1753.0,7102.0,9346.0,1754.0,8450,5460.0,4170,2685.0,4180.0,2740.0,55000,21420,1173.0,9099.0,28900,5575.0,5549.0,12485.0
4960,3835.0,18800,1360,3255.0,31290.0,22300.0,8200.0,1235.0,19587.0,1700.0,2581,1750.0,7160.0,9363.0,1758.0,8525,5563.0,4435,2685.0,4415.0,2834.0,53800,21950,1170.0,9120.0,29200,5600.0,5306.0,11950.0
4800,3875.0,18350,1350,3250.0,32500.0,22050.0,8020.0,1237.0,19048.0,1700.0,2615,1715.0,7160.0,9681.0,1708.0,8321,5550.0,4380,2698.0,4327.0,2840.0,55484,21600,1160.0,9055.0,28714,5700.0,5225.0,11950.0
4999,3955.0,19300,1339,3300.0,34600.0,22000.0,8010.0,1250.0,19697.0,1740.0,2682,1725.0,7278.0,9416.0,1752.0,8250,5619.0,4384,2880.0,4475.0,2801.0,58750,22919,1177.0,8927.0,30100,5700.0,5200.0,11535.0
4940,4100.0,20000,1350,3420.0,33405.0,22248.0,8550.0,1289.0,19397.0,1750.0,2688,1709.0,7330.0,9557.0,1737.0,8536,5560.0,4558,3060.0,4551.0,2800.0,58904,24950,1144.0,9300.0,30700,5700.0,5365.0,12000.0
4951,4300.0,19899,1344,3600.0,33800.0,22293.0,8300.0,1270.0,18987.0,1772.0,2679,1682.0,7292.0,9152.0,1841.0,8600,5590.0,4650,3070.0,4600.0,2785.0,59501,24900,1142.0,9000.0,30235,5705.0,5405.0,12351.0
4950,4400.0,18701,1341,3600.0,33298.0,22223.0,8100.0,1259.0,20237.0,1750.0,2749,1699.0,7225.0,9143.0,1801.0,8510,5750.0,4650,3021.0,4660.0,2735.0,61150,23430,1151.0,9000.0,30100,5770.0,5380.0,12100.0
5000,4250.0,18600,1350,3415.0,33099.0,22115.0,8000.0,1267.0,20786.0,1716.0,2721,1685.0,7334.0,8800.0,1786.0,8565,5750.0,4680,2795.0,4611.0,2750.0,62500,22520,1131.0,9219.0,30000,5700.0,5500.0,11701.0
5060,4276.0,18600,1360,3155.0,31500.0,21756.0,8201.0,1250.0,19786.0,1752.0,2709,1695.0,7358.0,8426.0,1781.0,8490,5701.0,4775,2936.0,4750.0,2720.0,58800,23676,1131.0,9120.0,30399,5750.0,5580.0,11650.0
5155,4340.0,18015,1330,3350.0,31450.0,22100.0,7750.0,1233.0,19397.0,1820.0,2721,1710.0,7500.0,8723.0,1745.0,8410,5620.0,4799,2961.0,4721.0,2650.0,59500,23200,1142.0,9111.0,30218,5740.0,5550.0,11900.0
5201,4300.0,18710,1331,3440.0,31953.0,21797.0,7859.0,1223.0,20287.0,1852.0,2693,1724.0,7488.0,8466.0,1726.0,8360,5620.0,4785,2915.0,4763.0,2600.0,57700,23199,1152.0,9120.0,30600,5640.0,5464.0,11950.0
5050,4300.0,18200,1332,3470.0,31820.0,21900.0,8060.0,1208.0,19857.0,1812.0,2721,1695.0,7495.0,8215.0,1770.0,8550,5570.0,4737,2950.0,4750.0,2595.0,56500,23575,1156.0,9269.0,31550,5725.0,5510.0,11775.0
5000,4290.0,17715,1321,3485.0,30451.0,22116.0,8060.0,1208.0,19792.0,1860.0,2712,1700.0,7550.0,8360.0,1766.0,8450,5560.0,4610,2998.0,4667.0,2555.0,56510,23342,1177.0,9320.0,30900,5695.0,5490.0,12000.0
