Date;Price;PE;Year End;ROE;Debt/Equity;Debt/Capital;Name;EPS;PEMarket;PESector;MarketRateOfReturn;RiskFreeRateOfReturn;Share Beta;Debt Equity/Industry;Shareholders Equity;Inflation Rate
2012/01/03;15.5;4.26;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.96; 17,56 ; 7,57 ;0,07;0,08; 1,87 ;11.68; 734,79 ;5,62
2012/01/10;15.48;4.26;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.97; 16,65 ; 11,01 ;0,07;0,08; 1,87 ;11.68; 734,79 ;5,62
2012/01/17;15.4;4.29;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.98; 17,16 ; 14,18 ;0,07;0,08; 1,87 ;11.68; 734,79 ;5,62
2012/01/24;15.4;4.29;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.99; 7,93 ; 9,04 ;0,07;0,08; 1,85 ;11.68; 734,79 ;5,62
2012/01/31;15.45;4.27;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.100; 19,76 ; 12,47 ;0,07;0,08; 1,84 ;11.68; 734,79 ;5,62
2012/02/07;15.4;4.29;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.101; 11,81 ; 10,23 ;0,07;0,08; 1,83 ;11.68; 734,79 ;5,62
2012/02/14;15.05;4.39;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.102; 14,00 ; 10,25 ;0,07;0,08; 1,65 ;11.68; 734,79 ;5,62
2012/02/21;15.32;4.31;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.103; 16,26 ; 13,91 ;0,07;0,08; 2,18 ;11.68; 806,00 ;5,62
2012/02/28;15.35;4.3;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.104; 17,09 ; 17,52 ;0,07;0,08; 2,25 ;11.68; 806,00 ;5,62
2012/03/06;15.95;4.58;2012/06/30 00:00;27.19;6.29;5.98;SPUR;31.105; 11,67 ; 15,79 ;0,07;0,08; 1,52 ;11.68; 806,00 ;5,62
